datetime;open;close;hma8;hma13;hma21;hma34;hma55;hma89;hma116;hma144;hma188;hma233;hma377;atr;adx;choppiness;fast_hma_spread;fast_hma_spread_atr;trend;event;lateral_filter;lateral_filter_reasons;reversal_cooldown_bars_remaining;last_reversal_fast_hmas_crossed;fast_hma_alignment;fast_hma_up_count;fast_hma_down_count;fast_hma_aligned_up;fast_hma_aligned_down;crossed_hmas;up_touched_hmas;down_touched_hmas;crossed_all_up;crossed_all_down;crossed_history;crossed_up;crossed_down;crossed_free_up;crossed_free_down;possivel_reversa;hma8_dir;hma8_angle_degrees;hma8_angle_percent;hma13_dir;hma13_angle_degrees;hma13_angle_percent;hma21_dir;hma21_angle_degrees;hma21_angle_percent
2026-04-20 08:40:00;4792,59000;4790,86000;4790,17343;4788,50625;4792,07237;;;;;;;;;14,89105;;48,53998;3,56612;0,23948;NEUTRAL;;False;;0;8,13;HMA8:UP|HMA13:UP|HMA21:FLAT;2;0;True;False;;;;8,13;8,13,21;8,13;;21;;21;False;UP;-0,46000;1.03%;UP;-5,77000;12.81%;FLAT;0,00000;0.0%
2026-04-20 09:00:00;4790,84000;4787,39000;4789,60098;4788,55217;4790,62116;;;;;;;;;14,42383;;44,82950;2,06899;0,14344;DOWNTREND;REVERSAL_TO_HMA21;False;;2;8,13,21;HMA8:DOWN|HMA13:UP|HMA21:DOWN;1;2;False;True;;;;;8,13,21;8,21;;8,13,21;;21;False;DOWN;-0,06000;0.13%;UP;-3,57000;7.94%;DOWN;0,00000;0.0%
2026-04-20 09:20:00;4787,39000;4790,40000;4789,56665;4788,74637;4789,64039;;;;;;;;;13,97570;;50,96644;0,89402;0,06397;DOWNTREND;;False;;1;8,13,21;HMA8:DOWN|HMA13:UP|HMA21:DOWN;1;2;False;True;;;;8,13,21;8,13,21;8,21;8,13,21;;8,13,21;;False;DOWN;1,33000;2.95%;UP;-1,82000;4.05%;DOWN;0,00000;0.0%
2026-04-20 09:40:00;4790,28000;4795,38000;4791,69739;4790,21922;4789,49199;;;;;;;;;13,68601;9,36908;58,56276;2,20539;0,16114;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:DOWN;2;1;True;False;;;;8,13,21;8,13,21;8,21;8;;8;;False;UP;2,80000;6.21%;UP;0,51000;1.14%;DOWN;0,00000;0.0%
2026-04-20 10:00:00;4796,40000;4802,70000;4797,09041;4793,89055;4790,82923;;;;;;;;;13,42486;9,28105;58,98768;6,26118;0,46639;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,21;8,13,21;8,21;8;;;;False;UP;7,34000;16.31%;UP;4,25000;9.45%;UP;0,00000;0.0%
2026-04-20 10:20:00;4802,60000;4796,26000;4799,89163;4796,67105;4792,43391;;;;;;;;;13,58309;8,64203;59,70023;7,45772;0,54904;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,13;;8,13;8,13,21;8,13,21;8,21;;8,13;;13;False;UP;10,72000;23.83%;UP;6,17000;13.71%;UP;0,00000;0.0%
2026-04-20 10:40:00;4796,26000;4789,71000;4797,20667;4796,93784;4793,31147;;;;;;;;;13,44715;8,42896;60,37180;3,89519;0,28967;NEUTRAL;TREND_EXHAUSTED;False;;0;8,13,21;HMA8:DOWN|HMA13:UP|HMA21:UP;2;1;True;False;;;;;21;;;21;;;False;DOWN;8,08000;17.96%;UP;5,97000;13.26%;UP;0,00000;0.0%
2026-04-20 11:00:00;4789,44000;4788,65000;4792,45843;4795,28437;4793,40101;;;;;;;;;12,89235;8,34779;60,10875;2,82595;0,21920;NEUTRAL;;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:UP;1;2;False;True;;;;;21;;;;;;False;DOWN;0,85000;1.88%;DOWN;4,97000;11.05%;UP;0,00000;0.0%
2026-04-20 11:20:00;4788,65000;4789,59000;4788,75728;4793,11128;4792,98277;;;;;;;;;12,36004;8,15140;59,94229;4,35400;0,35226;NEUTRAL;;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;8;21;;8;;8;;False;DOWN;-9,57000;21.26%;DOWN;3,37000;7.49%;DOWN;0,00000;0.0%
2026-04-20 11:40:00;4789,59000;4796,24000;4789,93541;4792,40299;4793,09189;;;;;;;;;11,99647;7,76333;60,68565;3,15648;0,26312;UPTREND;REVERSAL_TO_HMA21;False;;2;8,13,21;HMA8:UP|HMA13:DOWN|HMA21:UP;2;1;True;False;;;;8,13,21;;8,21;8,13,21;;8,13,21;;False;UP;-11,72000;26.05%;DOWN;1,74000;3.86%;UP;0,00000;0.0%
2026-04-20 12:00:00;4796,21000;4794,37000;4792,70278;4792,28965;4793,45430;;;;;;;;;11,55672;7,65345;60,19762;1,16465;0,10078;UPTREND;;False;;1;8,13,21;HMA8:UP|HMA13:DOWN|HMA21:UP;2;1;True;False;;;;8,13,21;;8,21;;;;;False;UP;-5,56000;12.37%;DOWN;-1,32000;2.94%;UP;0,69000;1.52%
2026-04-20 12:20:00;4794,37000;4788,07000;4792,21880;4791,46079;4793,21669;;;;;;;;;11,60910;7,94663;61,95526;1,75590;0,15125;UPTREND;;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;8,13,21;8,13,21;8,13,21;;8,13,21;;8,13,21;False;DOWN;-0,30000;0.66%;DOWN;-4,28000;9.51%;DOWN;1,28000;2.85%
2026-04-20 12:40:00;4788,49000;4791,52000;4791,51843;4791,01099;4792,79594;;;;;;;;;11,44345;8,00341;62,20303;1,78495;0,15598;UPTREND;;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;8,13;8,13;;8,13,21;8,13,21;8,13,21;8,13;;13;;False;DOWN;3,45000;7.67%;DOWN;-4,93000;10.96%;DOWN;1,58000;3.51%
2026-04-20 13:00:00;4791,52000;4800,10000;4794,29400;4792,75429;4793,10444;;;;;;;;;11,36963;7,53971;62,06245;1,53971;0,13542;NEUTRAL;TREND_EXHAUSTED;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,21;;8,13,21;8,13,21;;13;;False;UP;5,47000;12.17%;UP;-2,12000;4.72%;UP;1,82000;4.04%
2026-04-20 13:20:00;4799,89000;4796,54000;4796,67502;4794,78173;4793,64098;4793,73212;;;;;;;;10,89609;7,03074;65,21709;3,03404;0,27845;NEUTRAL;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,21;8;8,13,21;;8;;8;False;UP;5,21000;11.57%;UP;1,46000;3.25%;UP;1,48000;3.28%
2026-04-20 13:40:00;4796,42000;4795,76000;4797,68533;4796,10533;4794,39717;4794,09723;;;;;;;;10,31637;6,80766;63,48601;3,28816;0,31873;NEUTRAL;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,21;8,13;8,13,21;;13;;13;False;UP;7,55000;16.77%;UP;3,42000;7.61%;UP;1,09000;2.42%
